step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss,gen_gen_score,gen_oa_weighted,gen_pen_density,gen_pen_loop,gen_density_ratio,gen_calibrated,gen_oa_pitch_hist,gen_oa_pitch_class,gen_oa_poly_hist,gen_oa_ioi_hist,gen_oa_interval_hist,gen_oa_harm_hist,gen_z_pitch_hist,gen_z_poly_hist,gen_z_ioi_hist,gen_z_interval_hist,gen_z_harm_hist,gen_w_pitch_hist,gen_w_poly_hist,gen_w_ioi_hist,gen_w_interval_hist,gen_w_harm_hist,gen_score,gen_density,ref_density,gen_mean_poly,ref_mean_poly,gen_empty_ratio,ref_empty_ratio,gen_notes_per_sec,ref_notes_per_sec,gen_repeat8,ref_repeat8,gen_n_distinct_pitch,ref_n_distinct_pitch,gen_n_pieces,gen_grammar_violation,gen_grammar_prob_mass,gen_seconds,test_nll,test_ppl,test_bpt,test_token_acc,test_n_tokens,test_n_steps
4000,eval,1.890267456,0.0002899822322,,131072000,1333.767612,,,1.728054044,5.629688115,1.743790965,0.5038439891,630725,901732,1.728054044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4050,train,1.870976675,0.000286895181,0.3330653608,132710400,1351.303504,2.997106119,98209.1733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4100,train,1.862372215,0.0002837828791,0.312120676,134348800,1365.648823,3.002235957,98377.26783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4150,train,1.892732465,0.0002806462746,0.3205702603,135987200,1380.081893,3.007067929,98535.60189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,train,1.885898366,0.0002774863229,0.3516722322,137625600,1394.404301,3.012038903,98698.49077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4250,train,1.86334954,0.0002743039865,0.3461380303,139264000,1408.469046,3.017460705,98876.15239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,train,1.85027236,0.0002711002349,0.3444972038,140902400,1422.600775,3.022632966,99045.63701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4350,train,1.855629451,0.0002678760438,0.3418052495,142540800,1436.762128,3.027641051,99209.74197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400,train,1.832707365,0.0002646323956,0.3171460927,144179200,1450.904955,3.032590098,99371.91234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4450,train,1.869381368,0.000261370278,0.3164803684,145817600,1465.025888,3.037488987,99532.43913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4500,train,1.839178014,0.000258090685,0.3311232924,147456000,1479.12347,3.042342368,99691.47472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4550,train,1.854407716,0.0002547946154,0.302182287,149094400,1493.27411,3.04699584,99843.95967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4600,train,1.844129975,0.0002514830733,0.2839701176,150732800,1507.405853,3.051600199,99994.83533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4650,train,1.858292062,0.0002481570673,0.3272457123,152371200,1521.820303,3.055551296,100124.3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,train,1.863988898,0.0002448176107,0.3184072077,154009600,1536.234118,3.059429514,100251.3863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4750,train,1.849935832,0.0002414657207,0.3165285289,155648000,1550.50527,3.063517483,100385.3409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,train,1.858043673,0.0002381024182,0.3315573037,157286400,1564.740158,3.067601975,100519.1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4850,train,1.822127481,0.0002347287279,0.3404436409,158924800,1578.934645,3.071691418,100653.1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900,train,1.826737065,0.0002313456772,0.3367224336,160563200,1592.945616,3.076062328,100796.4104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4950,train,1.873276286,0.0002279542968,0.3361543119,162201600,1606.963386,3.080343985,100936.7117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,train,1.829632838,0.0002245556197,0.2897050679,163840000,1621.016227,3.084484855,101072.3997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,eval,1.829632838,0.0002245556197,,163840000,1621.02126,,,1.679911319,5.365080167,1.695209817,0.5158698323,630725,901732,1.679911319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,train,1.831221788,0.0002211506811,0.3287246227,165478400,1638.243447,3.082569938,101009.6517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5100,train,1.827621257,0.0002177405183,0.3338245749,167116800,1652.280246,3.08664345,101143.1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5150,train,1.810151465,0.0002143261699,0.3737506866,168755200,1666.291306,3.090696075,101275.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200,train,1.827994316,0.0002109086762,0.2771418393,170393600,1680.367318,3.094561495,101402.5911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5250,train,1.83128248,0.0002074890779,0.3110022545,172032000,1694.400346,3.098441293,101529.7243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5300,train,1.806033399,0.0002040684169,0.2879193723,173670400,1708.869861,3.101464964,101628.8039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5350,train,1.79874707,0.000200647735,0.3526913524,175308800,1723.298775,3.104510999,101728.6164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5400,train,1.792737215,0.0001972280743,0.3271902502,176947200,1737.579616,3.107771264,101835.4488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5450,train,1.804362707,0.0001938104763,0.3154722452,178585600,1751.917421,3.110877222,101937.2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5500,train,1.804262321,0.0001903959822,0.312556833,180224000,1766.203027,3.114024784,102040.3641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5550,train,1.805296082,0.000186985632,0.3389555812,181862400,1780.416438,3.117248235,102145.9902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
