step,split,train_loss,lr,grad_norm,tokens_seen,time_s,steps_per_s,tokens_per_s,val_nll,val_ppl,val_bpt,val_token_acc,val_n_tokens,val_n_steps,val_loss
6350,train,2.100758054,0.0009953290103,0.2787855268,156057600,988.3778102,6.424668719,157892.6584,,,,,,,
6400,train,2.096464906,0.0009952445909,0.1797488928,157286400,995.9512348,6.426017436,157925.8045,,,,,,,
6450,train,2.08644129,0.0009951594193,0.189772889,158515200,1003.66753,6.426430872,157935.9651,,,,,,,
6500,train,2.089450419,0.0009950734954,0.1813882738,159744000,1011.335435,6.427145509,157953.528,,,,,,,
6550,train,2.089519219,0.0009949868195,0.2075526863,160972800,1019.074316,6.427401709,157959.8244,,,,,,,
6600,train,2.097238128,0.0009948993916,0.1944289953,162201600,1026.775453,6.427890324,157971.8326,,,,,,,
6650,train,2.078657649,0.000994811212,0.1941136718,163430400,1034.216801,6.429986433,158023.3466,,,,,,,
6700,train,2.059337082,0.0009947222807,0.1828380078,164659200,1042.271364,6.428268327,157981.1224,,,,,,,
6750,train,2.064287689,0.0009946325978,0.1838060766,165888000,1049.508352,6.431582928,158062.582,,,,,,,
6800,train,2.099184215,0.0009945421637,0.167021066,167116800,1057.523491,6.430117211,158026.5606,,,,,,,
6850,train,2.087695305,0.0009944509782,0.2350117564,168345600,1065.829624,6.426918379,157947.9461,,,,,,,
6900,train,2.076810839,0.0009943590417,0.165493533,169574400,1073.803028,6.425759492,157919.4653,,,,,,,
6950,train,2.077045209,0.0009942663542,0.1635243297,170803200,1081.711024,6.425006167,157900.9516,,,,,,,
7000,train,2.078598936,0.000994172916,0.1784999967,172032000,1089.308948,6.426092442,157927.6479,,,,,,,
7050,train,2.087460067,0.000994078727,0.1593776345,173260800,1096.78706,6.427865769,157971.2291,,,,,,,
7100,train,2.08731066,0.0009939837876,0.1652625501,174489600,1104.310479,6.429351287,158007.7372,,,,,,,
7150,train,2.042910607,0.0009938880977,0.1672102511,175718400,1111.831254,6.430831994,158044.1271,,,,,,,
7200,train,2.081462634,0.0009937916577,0.1718316972,176947200,1119.222872,6.433035082,158098.2702,,,,,,,
7250,train,2.068489501,0.0009936944676,0.1776333153,178176000,1126.76428,6.434353777,158130.6784,,,,,,,
7300,train,2.059146354,0.0009935965275,0.1748031676,179404800,1133.896096,6.43797966,158219.7881,,,,,,,
7350,train,2.056946282,0.0009934978377,0.1739211231,180633600,1141.120833,6.44103568,158294.8929,,,,,,,
7400,train,2.053917387,0.0009933983983,0.1518261731,181862400,1148.313711,6.444232032,158373.4464,,,,,,,
7450,train,2.059993429,0.0009932982094,0.1753397882,183091200,1155.747967,6.446042055,158417.9295,,,,,,,
7500,train,2.051214828,0.0009931972712,0.1779823452,184320000,1163.230293,6.447562487,158455.2957,,,,,,,
7500,eval,2.051214828,0.0009931972712,,184320000,1163.23605,,,1.991670843,7.327767085,1.995105717,0.4249339924,361322,520380,1.991670843
